course_number,course_title
ANTHRO C136K,Who Owns the Past? Cultural Heritage in a Digital Age
ANTHRO 136E,Digital Documentation and Representation of Cultural Heritage
ANTHRO 136F,Cultural Heritage in the Popular Media
ANTHRO 136G,Cultural Policy: Cultural Heritage and Cultural Diplomacy
ANTHRO 136H,Public Anthropology: Archaeology After-School Program
ANTHRO 136I,Public Anthropology: Archaeology and the Media
ANTHRO 136J,Public Anthropology: Archaeology and the Media Method
ANTHRO 136K,Cultural Heritage in a Digital Age
ANTHRO 137,"Energy, Culture and Social Organization"
ANTHRO 138A,History and Theory of Ethnographic Film
ANTHRO 138B,Field Production of Ethnographic Film
ANTHRO 139,Controlling Processes
ANTHRO 140,The Anthropology of Food
ANTHRO 141,Comparative Society
ANTHRO 142,Kinship and Family
ANTHRO 145,Urban Anthropology
ANTHRO 147A,Anthropology of Gender
ANTHRO 147C,Queer Ethnographies
ANTHRO C147B,"Sexuality, Culture, and Colonialism"
ANTHRO 148,Anthropology of the Environment
ANTHRO 149,Psychological Anthropology
ANTHRO 150,Utopia: Art and Power in Modern Times
ANTHRO 151,Disability and Culture
ANTHRO 152,Art and Culture
ANTHRO 155,Modernity
ANTHRO 156,Anthropology of the Contemporary
ANTHRO 156A,Politics and Anthropology
ANTHRO 156B,Culture and Power
ANTHRO 157,Anthropology of Law
ANTHRO 158,Religion and Anthropology
ANTHRO 160AC,Forms of Folklore
ANTHRO 161,Narrative Folklore
ANTHRO 162,Topics in Folklore
ANTHRO N162,Introduction to Arabic Folklore
ANTHRO 166,"Language, Culture, and Society"
ANTHRO 169A,Data Analysis and Computational Methods
ANTHRO 169B,Research Theory and Methods in Socio-Cultural Anthropology
ANTHRO 169C,Research Theory and Methods in Linguistic Anthropology
ANTHRO 170,China
ANTHRO 171,Japan
ANTHRO 172AC,Special Topics in American Cultures
ANTHRO 174AC,California Historical Anthropology
ANTHRO 178,Oceania
ANTHRO 179,Ethnography of the Maya
ANTHRO 180,European Society
ANTHRO 181,Themes in the Anthropology of the Middle East and Islam
ANTHRO 183,Topics in the Anthropological Study of Africa
ANTHRO 184,South Asia
ANTHRO 189,Special Topics in Social/Cultural Anthropology
ANTHRO 189A,Special Topics in Cultural Anthropology/Area
ANTHRO H195A,Senior Honors
ANTHRO H195B,Senior Honors
ANTHRO 196,Undergraduate Seminar
ANTHRO 197,Fieldwork
ANTHRO 198,Directed Group Study
ANTHRO 199,Supervised Independent Study
ANTHRO 202,Primate Behavior
ANTHRO 204,Primate Evolution
ANTHRO 209,Human Adaptation
ANTHRO 210,Special Topics in Physical Anthropology
ANTHRO 217,Discourse and of the Body
ANTHRO 219,Topics in Medical Anthropology
ANTHRO 221,Pre-Columbian Central America
ANTHRO 226,Archaeology of the Pacific
ANTHRO 227,Historical Archaeology Research
ANTHRO 228,Method
ANTHRO 229A,Archaeological Research Strategies
ANTHRO 229B,Archaeological Research Strategies
ANTHRO 229C,Writing the Field in Archaeology
ANTHRO 230,Special Topics in Archaeology
ANTHRO 231,Advanced Topics in Bioarchaeology
ANTHRO 232,Advanced Topics in Bone Biology: Biocultural and Evolutionary Perspectives
ANTHRO 235,Special Topics in Museum Anthropology
ANTHRO 240A,Fundamentals of Anthropological Theory
ANTHRO 240B,Fundamentals of Anthropological Theory
ANTHRO 250A,Seminars in Social and Cultural Anthropology: Psychological Anthropology
ANTHRO 250E,Seminars in Social and Cultural Anthropology: Anthropology of Politics
ANTHRO 250F,Seminars in Social and Cultural Anthropology: Religion
ANTHRO 250G,Seminars in Social and Cultural Anthropology: Anthropology of Ethics
ANTHRO 250J,Seminars in Social and Cultural Anthropology: Ethnographic Field Methods
ANTHRO 250N,Seminars in Social and Cultural Anthropology: Classic Ethnography
ANTHRO 250R,Seminars in Social and Cultural Anthropology: Dissertation Writing
ANTHRO 250V,Seminars in Social and Cultural Anthropology: Tourism
ANTHRO 250X,Seminars in Social and Cultural Anthropology: Special Topics
ANTHRO C254,Topics in Science and Technology Studies
ANTHRO C261,Theories of Narrative
ANTHRO C262A,Theories of Traditionality and Modernity
ANTHRO C262B,Theories of Traditionality and Modernity
ANTHRO 270A,Seminars in Linguistic Anthropology: Semantics
ANTHRO 270B,Seminars in Linguistic Anthropology: Fundamentals of Language in Context
ANTHRO C273,Science and Technology Studies Research Seminar
ANTHRO 280B,Seminars in Area Studies: Africa
ANTHRO 280C,Seminars in Area Studies: South Asia
ANTHRO 280D,Seminars in Area Studies: China
ANTHRO 280X,Seminars in Area Studies: Special Topics in Area Studies
ANTHRO 290,Survey of Anthropological Research
ANTHRO 296A,Supervised Research
ANTHRO 296B,Supervised Research
ANTHRO N296A,Supervised Research
ANTHRO 298,Directed Reading
ANTHRO 299,Directed Research
